debt_income_ratio,no_of_dependents,education,self_employed,loan_term,cibil_score,residential_assets_value,commercial_assets_value
0.84,0,1,1,0.444444444,0.991666667,0.854608644,0.668665251
0.44516129,0,1,0,0.888888889,0.78,0.339255409,0.435284047
0.859459459,0.4,0,0,0.111111111,0.866666667,0.604301051,0.435284047
0.9,0.2,1,0,0.111111111,0.063333333,0.403855094,0.372162625
0.295238095,1,1,1,0.222222222,0.63,0.604301051,0.656931852
0.866666667,0.8,0,0,0.111111111,0.778333333,0.431303993,0.444169838
0.253012048,0.6,1,0,0.777777778,0.913333333,0.749693831,0.384176078
0.216666667,0.4,0,1,0.111111111,0.98,0.655591077,0.60518605
0.73125,0.8,0,1,1,0.053333333,0.564061024,0.776986049
0.802409639,0.6,0,0,0.444444444,0.691666667,0.647264701,0.849666334
0.232653061,0.8,1,1,0.888888889,0.116666667,0.757451073,0.484031527
0.528205128,0.8,1,0,0,0.81,0.693725555,0.435284047
0.883076923,1,1,1,0.222222222,0.235,0.813565956,0.790963606
0.275789474,0,0,1,0.666666667,0.441666667,0.829332418,0.849666334
0.538461538,0.2,1,0,0.777777778,0.858333333,0.652845096,0.80180007
0.306666667,1,1,1,0.222222222,0.251666667,0.620518417,0.837595574
0.247058824,0.2,0,1,0.333333333,0.735,0.590477517,0.698094262
0.55,0.6,0,0,0.666666667,0.238333333,0.551684393,0.384176078
0.68,0.2,1,1,0.111111111,0.98,0.487027809,0.426019858
0.243373494,0,0,1,1,0.571666667,0.954902666,0.771251625
0.35308642,0.8,0,0,0.666666667,0.868333333,0.850276263,0.759519739
0.803773585,1,1,1,0.111111111,0.143333333,0.524472862,0.793700526
0.817721519,0.6,0,0,0.111111111,0.156666667,0.932134439,0.879543656
0.348148148,0.4,1,1,0.888888889,0.411666667,0.614161851,0.444169838
0.8375,0.6,0,0,0.333333333,0.366666667,0.779640374,0.837595574
0.688888889,0,0,0,0,0.776666667,0.647264701,0.756529473
0.83030303,0.4,1,0,0.111111111,0.155,0.635726816,0.575616628
0.702564103,0.8,1,0,0.888888889,0.208333333,0.538532997,0.896964872
0.389189189,0.6,1,1,0.111111111,0.08,0.816777523,0.866010063
0.855,0.8,1,0,0.111111111,0.201666667,0.543010441,0.852039716
0.490909091,0,0,0,0.777777778,0.443333333,0.560014593,0.962531145
0.646153846,0.4,1,0,0.555555556,0.983333333,0.749693831,0.790963606
0.642105263,0.6,1,1,0.333333333,0.585,0.381938338,0.476583704
0.325714286,0.2,1,1,0.444444444,0.543333333,0.674054849,0.656931852
0.444897959,0.6,1,0,0.444444444,0.173333333,0.95044969,0.701602333
0.766666667,0.6,0,0,0.444444444,0.385,0.666297548,0.460946608
0.5,0.2,0,1,0.111111111,0.106666667,0.514510203,0.330444684
0.718518519,0.6,1,1,0.444444444,0.991666667,0.617360909,0.7964187
0.578378378,0.4,0,0,0.555555556,0.813333333,0.468260069,0.330444684
0.433333333,0.8,1,1,0.777777778,0.08,0.431303993,0.484031527
0.774358974,0.8,0,1,0,0.29,0.716527625,0.832668427
0.84,0,0,1,0.444444444,0.246666667,0.431303993,0.505102393
0.717647059,0.8,0,0,0.333333333,0.158333333,0.524472862,0.345485177
0.573913043,0.2,1,1,1,0.895,0.632758461,0.734902399
0.46122449,1,1,0,0.444444444,0.941666667,0.800407045,0.575616628
0.575757576,0.8,0,0,0.666666667,0.803333333,0.514510203,0
0.779310345,0.8,0,1,0.111111111,0.116666667,0.865915009,0.929910082
0.696774194,0,1,0,1,0.075,0.7251696,0.672486278
0.266666667,0,0,1,0.777777778,0.733333333,0.652845096,0.372162625
0.628571429,0.4,1,0,0.777777778,0.476666667,0.807050544,0.476583704
1,0,0,1,0.444444444,0.638333333,0.447131768,0.330444684
0.638709677,1,0,0,0,0.768333333,0.638660653,0.452713652
0.630769231,0.8,0,1,0.666666667,0.988333333,0.644428674,0.623397959
0.796226415,0.8,0,0,0.333333333,0.283333333,0.533954915,0.782637055
0.647311828,0.4,0,1,0.555555556,0.591666667,0.693725555,0.705075668
0.782222222,0.8,0,1,0.333333333,0.993333333,0.674054849,0.60984151
0.479166667,0.4,0,0,0.888888889,0.578333333,0.774235772,0.799118445
0.310843373,0.6,1,0,0.111111111,0.026666667,0.900449665,0.793700526
0.777777778,0.2,1,1,0.666666667,0.118333333,0.95044969,0.715295577
0.64,0.4,1,0,0.777777778,0.66,0.583242306,0.313894115
0.672727273,0.6,0,1,0.555555556,0.338333333,0.538532997,0.274211767
0.82,0.4,1,1,0.444444444,0.511666667,0.766885213,0.580756335
0.25,0,1,1,0.111111111,0.753333333,0.504000979,0.384176078
0.305263158,1,1,0,0.888888889,0.845,0.583242306,0.359319064
0.518644068,0.8,0,1,0,0.775,0.79533648,0.785432211
0.523809524,0.6,0,1,0,0.403333333,0.854608644,0.359319064
0.371428571,0.8,0,1,0.666666667,0.891666667,0.543010441,0.172742589
0.336585366,1,0,1,0,0.011666667,0.714326817,0.738070121
0.328,0.6,0,1,0.777777778,0.018333333,0.655591077,0.790963606
0.981395349,0,0,0,0.333333333,0.531666667,0.583242306,0.698094262
0.228571429,0.8,1,1,0.222222222,0.705,0.571934431,0
0.76969697,0,0,1,1,0.431666667,0.586888626,0.530719961
0.27826087,0.2,0,1,0.111111111,0.53,0.498516612,0.172742589
0.309090909,0.6,0,1,1,0.476666667,0.461515415,0.660889369
0.570833333,0.4,0,1,1,0.771666667,0.934469776,0.847279618
0.870769231,1,0,1,0,0.345,0.35532721,0.807110159
0.784615385,0,1,1,1,0.525,0.666297548,0
0.407407407,0.8,0,1,0.444444444,0.258333333,0.604301051,0.51174924
0.237647059,0.8,1,0,0.111111111,0.663333333,0.663661154,0.60518605
0.983673469,0,1,0,0.333333333,0.586666667,0.936791614,0.993079363
0.65,1,1,1,0.555555556,0.171666667,0.35532721,0
0.63125,0.8,0,0,1,0.166666667,0.504000979,0.680000713
0.422222222,0.4,0,0,1,0.456666667,0.403855094,0.779821789
0.5125,0.2,1,0,0.555555556,0.943333333,0.617360909,0.330444684
0.505263158,0.2,1,1,0.555555556,0.683333333,0.47474515,0.683696442
0.975,0.8,0,1,0.777777778,0.771666667,0.826236084,0.768352156
0.4,0.8,1,0,0.222222222,0.235,0.705352949,0.406175641
1,1,0,0,1,0.565,0.320223405,0.721949871
0.448275862,0.2,1,0,0,0.096666667,0.393354646,0.330444684
0.334693878,0.4,0,0,0.444444444,0.813333333,0.439421024,0.809739201
0.577777778,1,1,1,0.555555556,0.268333333,0.529270342,0.468895526
0.903030303,0.2,1,0,0.111111111,0.333333333,0.709874669,0.595653972
0.893333333,0.6,1,1,0,0.21,0.917827508,0.941682345
0.632,0.6,0,1,0.444444444,0.78,0.597491718,0.274211767
0.458064516,1,0,0,0.222222222,0.1,0.403855094,0.718638128
0.2,0,1,1,0.111111111,0.67,0.718712008,0.542650226
0.430508475,0.2,1,0,0,0.411666667,0.858889753,0.468895526
0.447058824,0.6,1,0,0.222222222,0.993333333,0.586888626,0.62778823
0.780952381,0.6,0,0,1,0.9,0.597491718,0.672486278
0.646666667,0.6,0,0,0.444444444,0.145,0.660998395,0.683696442
0.291428571,0,1,0,0.666666667,0.11,0.655591077,0.536751386
0.48,0.6,1,0,0,0.651666667,0.652845096,0.725231507
0.866666667,0.8,1,1,0.555555556,0.623333333,0.369375825,0
0.865116279,0.2,0,0,0.777777778,0.63,0.89404894,0.883963548
0.266666667,0,0,0,0,0.651666667,0.691341597,0.614426957
0.376190476,0.6,0,1,0.555555556,0.826666667,0.933303807,0.81494667
0.216,0.8,0,1,1,0.658333333,0.422722516,0.595653972
0.733333333,0.2,1,1,0.444444444,0.043333333,0.339255409,0.372162625
0.572413793,0.6,0,0,0.666666667,0.89,0.431303993,0.614426957
0.904,1,0,1,0.777777778,0.725,0.131118215,0.484031527
0.741176471,0.4,1,0,0.444444444,0.503333333,0.61091985,0.518227766
0.2,0.4,0,1,0.111111111,0.956666667,0.480994278,0.406175641
0.869387755,0.2,0,1,0.555555556,0.548333333,0.98891097,0.595653972
0.692753623,0.2,1,1,0.777777778,0.621666667,0.863121077,0.172742589
0.2,0,1,0,0.333333333,0.903333333,0.131118215,0.406175641
0.47826087,0,1,1,0.444444444,0.05,0.892755835,0.785432211
0.701694915,0.6,0,1,0.444444444,0.236666667,0.729397866,0.295385671
0.692631579,1,0,0,0.444444444,0.871666667,0.847358754,0.575616628
0.895081967,0.6,0,1,0.888888889,0.566666667,0.854608644,0.721949871
0.336585366,0,1,1,0.777777778,0.32,0.850276263,0.779821789
0.846153846,0.8,1,1,0.888888889,0.301666667,0.524472862,0.60984151
0.963636364,1,0,0,0.444444444,0.616666667,0.600921058,0.718638128
0.843902439,0.8,1,1,0.444444444,0.261666667,0.663661154,0.701602333
0.336170213,0.8,1,1,0.111111111,0.035,0.741736991,0.172742589
0.912195122,0.6,1,1,0.222222222,0.611666667,0.529270342,0.435284047
0.066666667,0.6,0,1,0.222222222,0.96,0.320223405,0.172742589
0.566666667,0.8,0,0,0.111111111,0.398333333,0.504000979,0
0.550617284,0.6,0,1,1,0.595,0.838460434,0.530719961
0.68,0,1,1,0.333333333,0.006666667,0.35532721,0.313894115
0.9,0.6,0,0,0.222222222,0.865,0.447131768,0.384176078
0.25,0.8,0,1,0.777777778,0.625,0.696089479,0.460946608
0.662222222,0,0,0,0.111111111,0.52,0.131118215,0.718638128
0.2,1,1,1,0,0.765,0.262236431,0.295385671
0.540909091,0.6,0,1,0.333333333,0.288333333,0.860305654,0.313894115
0.155555556,0.2,1,1,0.888888889,0.273333333,0.439421024,0
0.325373134,0.6,1,0,0.888888889,0.32,0.49286343,0.468895526
0.613636364,0.6,0,1,0.555555556,0.68,0.842937403,0.923910495
0.573913043,0.4,1,0,0.777777778,0.478333333,0.688937175,0.672486278
0.7,0.6,0,1,0.444444444,0.791666667,0.620518417,0.636389138
0.68,0.6,1,0,0.888888889,0.558333333,0.644428674,0.711921491
0.56,0.2,1,1,0.888888889,0.71,0.770581616,0.877316954
0.565714286,0.8,0,0,0.555555556,0.055,0.686511845,0.690970354
0.495890411,0.4,1,0,0.222222222,0.715,0.797035256,0.820088426
0.306666667,0.8,1,0,0.444444444,0.796666667,0.571934431,0.249137924
0.407407407,0,0,1,1,0.826666667,0.381938338,0.600457841
0.327472527,0,1,0,1,0.463333333,0.641560958,0.683696442
0.847191011,0.4,0,1,0.555555556,0.136666667,0.131118215,0.835139268
0.422222222,0.6,0,1,0.555555556,1,0.439421024,0
0.808,0.6,0,1,0.555555556,0.396666667,0.61091985,0.452713652
0.55862069,0.8,1,0,0.888888889,0.816666667,0.957111214,0.776986049
0.544827586,0.8,1,1,0.444444444,0.03,0.712109272,0.595653972
0.544827586,0.4,0,1,0.444444444,0.655,0.684065145,0.460946608
0.815384615,0.8,1,0,0.444444444,0.02,0.47474515,0.313894115
0.772043011,0,0,0,0,0.051666667,0.674054849,0.832668427
0.429213483,0.2,0,1,0.111111111,0.761666667,0.700758875,0.842465425
0.281355932,0.2,0,0,0.222222222,0.798333333,0.755529795,0.842465425
0.756521739,0.4,1,0,0,0.773333333,0.688937175,0.426019858
0.232432432,0.8,0,0,0.222222222,0.628333333,0.922654066,0.886157014
0.702564103,0.4,1,1,0.444444444,0.355,0.92385155,0.313894115
0.535135135,1,1,0,0.111111111,0.435,0.914168342,0.580756335
0.1875,0.4,1,0,0.444444444,0.065,0.320223405,0.632117941
1,0,0,0,1,0.051666667,0.320223405,0
0.923076923,0,0,1,1,0.113333333,0.564061024,0.426019858
0.810526316,0.2,0,1,0.666666667,0.236666667,0.772413899,0.721949871
0.466666667,1,1,0,0.222222222,0.055,0.547392602,0.274211767
0.29,0.4,0,0,1,0.415,0.509328595,0.793700526
0.494736842,0.8,0,0,0.555555556,0.791666667,0.480994278,0.888339676
0.5625,0.2,1,1,0.222222222,0.305,0.663661154,0.460946608
0.163636364,0.6,1,0,0.333333333,0.728333333,0.533954915,0.468895526
0.431578947,0.2,0,0,0.333333333,0.058333333,0.262236431,0.640603758
0.2,0.4,0,0,1,0.505,0.551684393,0.968063055
0.511111111,0.6,0,1,1,0.381666667,0.403855094,0.249137924
0.854545455,0.8,0,1,0.333333333,0.61,0.571934431,0.623397959
0.647058824,0.6,1,0,0.666666667,0.66,0.320223405,0.330444684
0.405128205,0.6,1,1,0.111111111,0.778333333,0.872808439,0.81494667
0.292307692,1,1,0,0.111111111,0.12,0.468260069,0.172742589
0.478787879,0.6,0,1,0.444444444,0.416666667,0.925045428,0.935833235
0.515789474,0.6,1,1,0.555555556,0.226666667,0.504000979,0.565052462
0.853333333,0.8,0,1,0,0.81,0.686511845,0.554077783
0.584615385,0,0,1,0.111111111,0.625,0.832401531,0.768352156
0.957894737,0.6,0,0,0.888888889,0.486666667,0.504000979,0.536751386
0.342857143,0.6,1,0,0,0.586666667,0.262236431,0.476583704
0.765714286,0.4,1,0,0.888888889,0.546666667,0.802080274,0.698094262
0.51,0.6,1,0,0.555555556,0.453333333,0.733567197,0.172742589
0.242105263,0.4,0,1,0.555555556,0.943333333,0.644428674,0.313894115
0.912195122,1,1,1,0.444444444,0.893333333,0.749693831,0.384176078
0.35,0.4,1,0,0.444444444,0.895,0.571934431,0.384176078
0.777777778,1,0,0,0.888888889,0.11,0.560014593,0.498275848
0.333333333,0,1,0,0.777777778,0.798333333,0.296316815,0
0.661538462,0.2,0,0,0.444444444,0.638333333,0.413603847,0.330444684
0.79047619,0.8,1,0,0.222222222,0.04,0.652845096,0.672486278
0.648780488,0,0,1,0.333333333,0.831666667,0.568033198,0.330444684
0.278947368,0.4,0,0,1,0.653333333,0.737679604,0.790963606
0.857777778,0.6,0,0,0.222222222,0.388333333,0.47474515,0.660889369
0.943478261,0.6,0,0,0,0.691666667,0.761258661,0.847279618
0.288888889,1,1,1,0,0.233333333,0.858889753,0.372162625
0.709090909,0,0,1,0.555555556,0.828333333,0.369375825,0.67626437
0.563636364,0,0,1,0.444444444,0.691666667,0.960402057,0.505102393
0.555555556,0,1,1,0.777777778,0.028333333,0.61091985,0.426019858
0.36,0,1,0,0.666666667,0.426666667,0.403855094,0
0.466666667,0.6,0,1,0.555555556,0.51,0.519555413,0.842465425
0.36969697,0.8,1,1,0.777777778,0.131666667,0.658308602,0.866010063
0.609090909,1,0,1,0.777777778,0.408333333,0.886223458,0.949369888
0.854545455,1,1,0,0.777777778,0.33,0.339255409,0.172742589
0.323076923,1,1,0,1,0.4,0.413603847,0.491256944
0.481081081,1,1,1,1,0.681666667,0.696089479,0.345485177
0.292307692,0.2,0,1,0.222222222,0.3,0.533954915,0.249137924
0.985185185,0.8,0,0,0.222222222,0.928333333,0.681596599,0.600457841
0.411764706,0.4,1,1,0.222222222,0.775,0.614161851,0.426019858
0.482926829,0.2,0,0,0.222222222,0.175,0.777848868,0.530719961
0.369230769,0.2,0,0,0.444444444,0.701666667,0.422722516,0.765430636
0.692307692,0.8,1,0,0.333333333,0.421666667,0.700758875,0.505102393
0.506382979,0.8,1,1,0.222222222,0.42,0.632758461,0.753515379
0.91627907,0.6,1,0,0.444444444,0.11,0.668908221,0.701602333
0.369491525,0.4,1,1,0,0.183333333,0.77604738,0.60984151
0.538461538,1,0,0,0.111111111,0.985,0.805401922,0.554077783
0.672,0.4,1,1,0.777777778,0.665,0.714326817,0.672486278
0.779104478,0.4,0,1,0.111111111,0.006666667,0.818372085,0.715295577
0.864864865,1,1,0,0.111111111,0.033333333,0.895337677,0.90959984
0.52,0.2,0,1,0.444444444,0.971666667,0.403855094,0
0.391304348,1,0,0,0.888888889,0.048333333,0.632758461,0.554077783
0.367032967,0,0,1,0.555555556,0.145,0.960402057,0.929910082
0.746835443,0.6,1,1,0.555555556,0.181666667,0.858889753,0.416334214
0.317241379,0.4,1,0,0.111111111,0.963333333,0.705352949,0.652926071
0.881818182,0.6,0,1,1,0.435,0.629754555,0.744325251
0.310769231,0.2,1,1,0.555555556,0.1,0.560014593,0.476583704
0.853658537,0.4,1,0,0.555555556,0.451666667,0,0.644763639
0.458823529,0.2,0,1,1,0.3,0.296316815,0.313894115
0.770731707,0.8,1,0,0.555555556,0.66,0.768738772,0.817525633
0.304347826,0.4,1,1,0.222222222,0.086666667,0.79533648,0.648870525
0.76744186,0,1,1,0.777777778,0.571666667,0.413603847,0.899095438
0.738947368,0.8,1,1,0.222222222,0.365,0.641560958,0.406175641
0.866666667,0.2,1,1,0.777777778,0.045,0.614161851,0.295385671
0.40952381,0.2,0,0,1,0.268333333,0.454483541,0.580756335
0.960784314,0,0,0,0.555555556,0.945,0.47474515,0.715295577
0.866666667,0,0,1,0.777777778,0.051666667,0.696089479,0.614426957
0.312,0.8,0,0,0.222222222,0.06,0.461515415,0.590771343
0.833333333,1,0,1,0.333333333,0.015,0.35532721,0.313894115
0.6,0.8,0,0,0.111111111,0.041666667,0.614161851,0.345485177
